Author
Laura Maria Alessandretti
Surendra Hazarie
Hugo Barbosa
Adam Frank
Ronaldo Menezes
Gourab Ghoshal
Henrik Wolf
Ane Rahbek Vierø
Clara Vandeweerdt
Nicole Nisbett
Viktoria Spaiser
Kelton Minor
Nick Obradovich
Hannah-Marie Büttner
Hendrik Meyer
Patrick Zerrer
Max Falkenberg
Andrea Baronchelli
Giorgio Tripodi
Francesco Lamperti
Andrea mina
Fabrizio Lillo
Roberto Mavilia
Francesca Chiaromonte
Kristoffer Lind Glavind
Aaron J. Schwartz
Christopher Danforth
Andreas Bjerre-Nielsen
Andreia Sofia Teixeira
Michele Tizzani
Daniela Paolotti
Pietro Coletti
Alessandro De Gaetano
Christopher I Jarvis
Amy Gimma
Kerry Wong
John W Edmunds
Philippe Beutels
Niel Hens
Julia Koltai
Adam Stefkovics
Anna Sara Ligeti
Marcin Waniek
Petter Holme
Katayoun Farrahi
Remi Emonet
Manuel Cebrian
Talal Rahwan
Lorenzo Amir Nemati Fard
Daniela Perrotta
Nicola Perra
Nicolò Gozzi
Paolo Bajardi
Ryota Kobayashi
Yuka Takedomi
Yuri Nakayama
Towa Suda
Takeaki Uno
Takako Hashimoto
Masashi Toyoda
Naoki Yoshinaga
Masaru Kitsuregawa
Luis E C Rocha
Edward Lee
Katie Spoon
Isabelle Langrock
Jack LaViolette
Marcelo Silva
Kristina Gligoric
Tiziano Piccardi
Jake M. Hofman
Renzhe Yu
Sky CH-Wang
Zhen Xu
Zhuojian Wei
Nalette Brodnax
Keyu Zhu
Nabeel Gillani
Pascal Van Hentenryck
Mariana Macedo
Cesar A Hidalgo
Luca Rossi
Juniper L Lovato
Laurent Hebert-Dufresne
Jonathan St-Onge
Randall Harp
Gabriela Salazar Lopez
Sean P. Rogers
Ijaz Ul Haq
Jeremiah Onaolapo
Guangnan Zhu
Kateryna Kasianenko
Shima Saniei
Uttama Barua
George Gyamfi
Jana Lasser
Segun Aroyehun
Fabio Carella
Ruth Elisabeth Appel
Jennifer Pan
Margaret Roberts
Bao Tran Truong
Xiaodan Lou
Alessandro Flamini
Filippo Menczer
Jason C Coronel
Matthew Donald Sweitzer
Shannon Poulsen
Yuanmo He
Kathyrn Fair
Omar Guerrero
Gerardo Iñiguez
Sara Heydari
János Kertész
Jari Saramäki
Johanna Einsiedler
Nikolaj Arpe Harmon
