author,display_name,country_code,first_pub_year,citation_count
David Kriegman,David Kriegman,"US,CN,CH",2002,3504
David Lazer,David Lazer,"US,NL,MX",2007,2125
David McKenzie,David R. McKenzie,"AU,GB,US,SE,FR",2006,854
David Mimno,David Mimno,"US,FR,CZ,DE,DK",2009,2091
David Schoch,David Schoch,"DE,GB,HU,CH",2019,823
Dawei Zhao,Dawei Zhao,"CN,SS",2016,859
Denny Borsboom,Denny Borsboom,"NL,BE,US",2003,19989
Devon Brackbill,Devon Brackbill,US,2018,560
Didier Sornette,Didier Sornette,"CN,CH,JP,FR",2009,869
Diego Peŕez-Liebana,Diego Peŕez-Liebana,"GB,CR,ES,EC,SE,US",2012,2707
Dirk Helbing,Dirk Helbing,"CH,AT,DE,US,NL,SE,NZ",2011,941
Doug Beeferman,Doug Beeferman,US,1999,671
Douglas C. Noll,Douglas C. Noll,"US,BG",1995,3224
Dougľas R. White,Dougľas R. White,"US,GB",2009,869
Drew Fudenberg,Drew Fudenberg,"US,RU,GB,JP",2009,687
Duncan J. Watts,Duncan J. Watts,"US,GB,DE",2000,10788
Duygu Balcan,Duygu Balcan,"TR,IT,US",2012,300
Earl K. Miller,Earl K. Miller,"US,GB,DE",2001,11770
Edmond Awad,Edmond Awad,"GB,DE,US,IT,RU",2018,2822
Edmund M. Talley,Edmund M. Talley,US,2011,1239
Edoardo M. Airoldi,Edoardo M. Airoldi,US,2016,605
Edward J. Powley,Edward J. Powley,GB,2012,2707
Eiko I. Fried,Eiko I. Fried,"NL,US,CZ,AU",2015,8375
Ellie Pavlick,Ellie Pavlick,"US,DK,SE,IT,IL,FI",2016,476
Elsa Arcaute,Elsa Arcaute,"GB,AU",2014,386
Emilio Ferrara,Emilio Ferrara,US,2018,415
Emma Pierson,Emma Pierson,US,2017,1018
Emmanuel Cruz‐Zavala,Emmanuel Cruz‐Zavala,MX,2011,472
Erez Hatna,Erez Hatna,"US,GB,NL,IL",2014,386
Eric‐Jan Wagenmakers,Eric‐Jan Wagenmakers,"NL,DE,RU,US",2011,1994
Evelien Snippe,Evelien Snippe,"NL,US,DE,CZ,BE",2019,823
Eytan Bakshy,Eytan Bakshy,"US,IL",2011,3296
Fabien Vinckier,Fabien Vinckier,FR,2005,1798
Fabrizio Gilardi,Fabrizio Gilardi,"CH,US,GB",2002,491
Fernando Vega‐Redondo,Fernando Vega‐Redondo,"IT,ES,US,GB",2009,869
Filippo Menczer,Filippo Menczer,"US,BR,IT,CH",2012,418
