author,display_name,country_code,first_pub_year,citation_count
Victor Galaz,Victor Galaz,"SE,GB,CL,JP",2008,975
Vincent D. Blondel,Vincent D. Blondel,"BE,US,FR,AU",2014,396
Vittoria Colizza,Vittoria Colizza,"FR,US,JP,ML,DE,IT",2006,2936
Vittorio Loreto,Vittorio Loreto,"IT,AT,FR,JP,NL,ES",2009,7718
W. Lance Bennett,W. Lance Bennett,"US,ZA,CA,GB",2011,4000
W. Zhang,Wei Zhang,"CN,CA",2011,387
Wade D. Cook,Wade D. Cook,"CA,HR,GB,US",2008,1440
Walter Quattrociocchi,Walter Quattrociocchi,"IT,NO,GB,US,MX",2021,1153
Wanqing Chen,Wanqing Chen,"CN,US",2016,16632
Wei Xu,Wei Xu,"CA,US,CN",2016,476
Wenqiang Wei,Wenqiang Wei,"CN,US",2019,2293
Will Monroe,Will Monroe,"US,FR,GB",2017,789
William B. Swann,William B. Swann,"US,SG,IT,AU,KR,JP",2003,7631
William F. Eddy,William F. Eddy,"US,CH,TR,JP",1995,3224
William Monroe,Charles W. Monroe,"GB,US,IL,CA",2016,204
Winter Mason,Winter Mason,"US,IL,GB",2011,3296
Wouter Van den Broeck,Wouter Van den Broeck,"NL,BE,IT,US,FR",2010,1570
Xiaofei He,Xiaofei He,CN,2005,3303
Xiaonong Zou,Xiaonong Zou,"CN,US,GB,TW",2017,1034
Xin Lü,Xin Lü,"GB,CN,DE",2020,788
Xiuying Gu,Xiuying Gu,CN,2019,623
Xue Qin Yu,Xue Qin Yu,"AU,CN,US",2016,16221
Yakov Bart,Yakov Bart,"US,MX,GB,FR,SG",2014,266
Yann Algan,Yann Algan,"FR,US,DE",2015,576
Yao Chen,Yao Chen,CN,2008,638
Yong‐Yeol Ahn,Yong‐Yeol Ahn,"US,MX,DE,KR",2011,446
Yu Zheng,Yu Zheng,"CN,AU,KR,HK",2014,1199
Yun Yuan,Xiaohong Chen,"CN,SG",2020,788
Yuxiao Hu,Yuxiao Hu,"CN,HK",2005,3303
Yves-Alexandre de Montjoye,Yves-Alexandre de Montjoye,"GB,CH,US,DE,NO,BE",2010,927
Zbigniew Smoreda,Zbigniew Smoreda,"FR,AT,IT,US",2014,396
Zhen Wang,Hui Wang,"CN,NL",2016,859
Zhixun Yang,Zhixun Yang,"CN,AU",2017,411
Étienne Ollion,Étienne Ollion,"FR,CH,IE,US",2015,576
