author
Petter Holme
Philipp Rohlfshagen
Pia Tio
Piero Manfredi
Pu Wang
Quan Ze Chen
Rada Mihalcea
Randolph M. Nesse
Renaud Lambiotte
Rens Vliegenthart
René Mõttus
Ricardo Hausmann
Ricardo Herranz
Richard E. Tremblay
Richard Kim
Riet van Bork
Rion Snow
Robert A. Schoevers
Robert W. Krause
Roberta Sinatra
Roberto Navigli
Rocío García‐Retamero
Roger Tourangeau
Rogier Kievit
Ronaldo Menezes
Rongshou Zheng
Rossano Schifanella
Ru Chen
Ruslan Salakhutdinov
Ruud Wetzels
S. V. Sreenivasan
S. V. Subramanian
Sacha Epskamp
Saiph Savage
Sam Corbett‐Davies
Sameer B. Srivastava
Samit Bhattacharyya
Samuel Anklesaria
Samuel Arbesman
Samuel D. Gosling
Santo Fortunato
Sarah J. Jackson
Sebastian E. Ahnert
Sebastian Stier
Sebastián Bustos
Shaoming Wang
Sharad Goel
Shelley Channon
Shilad Sen
Shuicheng Yan
Simon Colton
Simon M. Lucas
Simone Paolo Ponzetto
Siwei Zhang
Sohan Dsouza
Sonia Yeh
Spyridon Samothrakis
Stanislas Dehaene
Stanley Presser
Stefaan Walgrave
Stefan Drews
Stefan Thurner
Stephen Tavener
Steven D. Forman
Sébastien Jean
Tamara Lucas
Thomas Louail
Théo Konc
Tianlin Shi
Timon Elmer
Timothy Schoenharl
Tingting Zuo
Tom Lenaerts
Tomaso Erseghe
Tore Ellingsen
Trevor Darrell
V. Govind Manian
Verena D. Schmittmann
Victor Galaz
Vincent D. Blondel
Vittoria Colizza
Vittorio Loreto
W. Lance Bennett
W. Zhang
Wade D. Cook
Walter Quattrociocchi
Wanqing Chen
Wei Xu
Wenqiang Wei
Will Monroe
William B. Swann
William F. Eddy
William Monroe
Winter Mason
Wouter Van den Broeck
Xiaofei He
Xiaonong Zou
Xin Lü
Xiuying Gu
Xue Qin Yu
Yakov Bart
Yann Algan
Yao Chen
Yong‐Yeol Ahn
Yu Zheng
Yun Yuan
Yuxiao Hu
Yves-Alexandre de Montjoye
Zbigniew Smoreda
Zhen Wang
Zhixun Yang
Étienne Ollion
